,Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,res_split1,residence_history_in mnths,employment_length_in mnths,purpose_grped,GBFlag,job_grped,credit_history_grped,Age_grped,residence_history_in mnths_grped,employment_length_in mnths_grped,savings_balance_grped,months_loan_duration_grped,checking_balance_grped
811,811,109.0,6,repaid,radio/tv,484,94.0,7 years,3,married,guarantor,3 years,real estate,28,bank,own,1,0,1,,yes,unskilled resident,male,3.0,36.0,84.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[3, 10)","[102.0, inf)"
76,76,-16.0,42,repaid,radio/tv,3965,38.0,10 months,4,single,none,3 years,other,34,none,own,1,1,1,,yes,skilled employee,male,3.0,36.0,10.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[37, 73)","[-inf, -15.0)"
636,636,0.0,24,repaid,radio/tv,1376,719.0,4 years,4,single,none,,other,28,none,own,1,0,1,,yes,skilled employee,female,,-500.0,48.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
973,973,-44.0,60,repaid,business,7297,23.0,10 years,4,single,co-applicant,8 years,unknown/none,36,none,rent,1,1,1,,yes,skilled employee,male,8.0,96.0,120.0,Others,Bad,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[37, 73)","[-inf, -15.0)"
938,938,196.0,60,repaid,education,6288,46.0,2 years,4,single,none,5 years,unknown/none,42,none,for free,1,1,1,,yes,skilled employee,male,5.0,60.0,24.0,education,Bad,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[37, 73)","[102.0, inf)"
899,899,-41.0,18,repaid,furniture,4153,29.0,2 years,2,single,co-applicant,4 years,other,42,none,own,1,1,1,,yes,skilled employee,male,4.0,48.0,24.0,furniture,Bad,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[16, 19)","[-inf, -15.0)"
280,280,0.0,15,critical,car (used),3368,7306.0,15 years,3,single,none,10 years,unknown/none,23,none,rent,2,0,1,2344549698.0,yes,skilled employee,male,10.0,120.0,180.0,Car,Good,skilled employee,critical,"[18, 24)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
883,883,0.0,18,critical,radio/tv,1098,46.0,,4,single,none,13 years,other,65,none,own,2,0,1,,yes,unemployed non-resident,female,13.0,156.0,-500.0,domestic appliance,Good,Others,critical,"[53, 76)","[132.0, 240.0)","[-inf, 3.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
761,761,-40.0,18,critical,furniture,2124,13.0,1 years,4,single,none,19 years,real estate,24,none,rent,2,1,1,,yes,skilled employee,female,19.0,228.0,12.0,furniture,Bad,skilled employee,critical,"[24, 34)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[16, 19)","[-inf, -15.0)"
319,319,-6.0,15,delayed,furniture,3643,50.0,14 years,1,single,none,24 years,building society savings,27,none,own,2,0,1,,yes,unskilled resident,female,24.0,288.0,168.0,furniture,Good,unskilled resident,delayed/repaid,"[24, 34)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
549,549,0.0,48,critical,car (used),8858,0.0,4 years,2,single,none,,unknown/none,35,none,for free,2,0,1,2348565327.0,yes,skilled employee,male,,-500.0,48.0,Car,Good,skilled employee,critical,"[34, 40)","[-inf, 2.0)","[36.0, 84.0)","[0.0, 1.0)","[37, 73)","[-15.0, 0.0)"
174,174,-29.0,21,delayed,education,3414,5.0,3 months,2,single,none,,building society savings,26,none,own,2,1,1,,yes,skilled employee,male,,-500.0,3.0,education,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[1.0, 31.0)","[19, 31)","[-inf, -15.0)"
371,371,0.0,18,critical,radio/tv,6070,43.0,7 years,3,single,none,15 years,other,33,none,own,2,0,1,2346985386.0,yes,skilled employee,male,15.0,180.0,84.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[132.0, 240.0)","[36.0, 84.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
527,527,0.0,4,critical,radio/tv,1503,57.0,7 years,2,single,none,,real estate,42,none,own,2,0,2,,yes,unskilled resident,male,,-500.0,84.0,domestic appliance,Good,unskilled resident,critical,"[40, 45)","[-inf, 2.0)","[36.0, 84.0)","[31.0, 155.0)","[3, 10)","[-15.0, 0.0)"
210,210,0.0,9,critical,radio/tv,3074,0.0,3 years,1,single,none,7 months,real estate,33,none,own,2,0,2,,yes,skilled employee,male,7.0,7.0,36.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[0.0, 1.0)","[3, 10)","[-15.0, 0.0)"
235,235,-34.0,24,repaid,radio/tv,1823,54.0,,4,single,none,10 months,other,30,stores,own,1,1,2,,yes,mangement self-employed,male,10.0,10.0,-500.0,domestic appliance,Bad,Others,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[19, 31)","[-inf, -15.0)"
101,101,41.0,36,repaid,radio/tv,2323,44.0,5 years,4,single,none,23 years,other,24,none,rent,1,0,1,,yes,skilled employee,male,23.0,276.0,60.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[240.0, inf)","[36.0, 84.0)","[31.0, 155.0)","[31, 37)","[0.0, 102.0)"
986,986,739.0,42,fully repaid,business,6289,42.0,9 months,2,divorced,none,,building society savings,33,none,own,2,0,1,,yes,skilled employee,male,,-500.0,9.0,Others,Good,skilled employee,fully repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[37, 73)","[102.0, inf)"
902,902,0.0,36,critical,car (used),10477,0.0,15 years,2,single,none,7 years,unknown/none,42,none,for free,2,0,1,,yes,skilled employee,male,7.0,84.0,180.0,Car,Good,skilled employee,critical,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[31, 37)","[-15.0, 0.0)"
947,947,0.0,12,repaid,car (new),2859,0.0,,4,single,none,24 years,unknown/none,38,none,own,1,0,1,2344332525.0,yes,mangement self-employed,male,24.0,288.0,-500.0,Car,Good,Others,delayed/repaid,"[34, 40)","[240.0, inf)","[-inf, 3.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
346,346,199.0,13,critical,radio/tv,882,0.0,1 months,4,single,guarantor,23 years,real estate,23,none,own,2,0,1,,yes,skilled employee,male,23.0,276.0,1.0,domestic appliance,Good,skilled employee,critical,"[18, 24)","[240.0, inf)","[-inf, 3.0)","[0.0, 1.0)","[10, 16)","[102.0, inf)"
139,139,461.0,12,repaid,radio/tv,1881,8.0,2 years,2,single,none,8 months,other,44,none,rent,1,0,1,2341810639.0,yes,unskilled resident,female,8.0,8.0,24.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[40, 45)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
621,621,0.0,18,critical,car (new),1530,60.0,3 years,3,single,none,0 months,building society savings,32,bank,own,2,1,1,,yes,skilled employee,male,0.0,0.0,36.0,Car,Bad,skilled employee,critical,"[24, 34)","[-inf, 2.0)","[24.0, 36.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
499,499,288.0,6,critical,car (new),1323,283.0,18 years,2,divorced,none,20 years,other,28,none,own,2,0,2,2341437370.0,yes,skilled employee,male,20.0,240.0,216.0,Car,Good,skilled employee,critical,"[24, 34)","[132.0, 240.0)","[84.0, inf)","[155.0, inf)","[3, 10)","[102.0, inf)"
370,370,0.0,36,repaid,car (new),3079,0.0,2 years,4,single,none,24 years,real estate,36,none,own,1,0,1,,yes,skilled employee,male,24.0,288.0,24.0,Car,Good,skilled employee,delayed/repaid,"[34, 40)","[240.0, inf)","[3.0, 24.0)","[0.0, 1.0)","[31, 37)","[-15.0, 0.0)"
198,198,130.0,24,repaid,car (used),2760,0.0,16 years,4,single,none,11 years,unknown/none,36,bank,for free,1,0,1,2344174930.0,yes,skilled employee,male,11.0,132.0,192.0,Car,Good,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[19, 31)","[102.0, inf)"
687,687,45.0,36,delayed,car (new),2862,253.0,18 years,4,single,none,1 years,unknown/none,30,none,for free,1,0,1,,yes,skilled employee,male,1.0,12.0,216.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[31, 37)","[0.0, 102.0)"
584,584,0.0,12,repaid,car (new),2133,0.0,17 years,4,single,none,24 years,unknown/none,52,none,for free,1,0,1,2349922974.0,yes,mangement self-employed,female,24.0,288.0,204.0,Car,Good,Others,delayed/repaid,"[45, 53)","[240.0, inf)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
901,901,0.0,20,critical,car (new),3485,0.0,4 months,2,divorced,none,13 years,real estate,44,none,own,2,0,1,2340012426.0,yes,skilled employee,male,13.0,156.0,4.0,Car,Good,skilled employee,critical,"[40, 45)","[132.0, 240.0)","[3.0, 24.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
59,59,-50.0,36,critical,furniture,6229,30.0,1 months,4,single,co-applicant,15 years,unknown/none,23,none,rent,2,1,1,2341219941.0,yes,unskilled resident,female,15.0,180.0,1.0,furniture,Bad,unskilled resident,critical,"[18, 24)","[132.0, 240.0)","[-inf, 3.0)","[1.0, 31.0)","[31, 37)","[-inf, -15.0)"
328,328,425.0,36,repaid,radio/tv,4473,15.0,11 years,4,single,none,7 months,other,31,none,own,1,0,1,,yes,skilled employee,male,7.0,7.0,132.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[31, 37)","[102.0, inf)"
96,96,0.0,12,critical,education,2012,0.0,7 years,4,single,none,2 months,other,61,none,own,1,0,1,,yes,skilled employee,female,2.0,2.0,84.0,education,Good,skilled employee,critical,"[53, 76)","[-inf, 2.0)","[36.0, 84.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
312,312,411.0,24,repaid,furniture,3749,38.0,10 months,2,single,none,11 years,other,26,none,own,1,0,1,,yes,skilled employee,female,11.0,132.0,10.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[102.0, inf)"
974,974,0.0,30,critical,radio/tv,2831,47.0,3 years,4,single,none,3 months,other,33,none,own,1,0,1,2348361857.0,yes,skilled employee,female,3.0,3.0,36.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
299,299,18.0,21,critical,furniture,2745,14575.0,5 years,3,single,none,4 months,other,32,none,own,2,0,1,2347780654.0,yes,skilled employee,male,4.0,4.0,60.0,furniture,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[155.0, inf)","[19, 31)","[0.0, 102.0)"
277,277,-8.0,12,repaid,furniture,1262,0.0,19 years,2,divorced,none,10 years,building society savings,49,none,own,1,0,1,2342492847.0,yes,unskilled resident,male,10.0,120.0,228.0,furniture,Good,unskilled resident,delayed/repaid,"[45, 53)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
924,924,-6.0,24,fully repaid this bank,furniture,6872,32.0,5 months,2,divorced,none,,building society savings,55,bank,own,1,1,1,2340929208.0,yes,skilled employee,male,,-500.0,5.0,furniture,Bad,skilled employee,fully repaid,"[53, 76)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
601,601,177.0,9,repaid,furniture,918,86.0,1 years,4,single,none,,building society savings,30,none,own,1,1,1,,yes,skilled employee,female,,-500.0,12.0,furniture,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[3, 10)","[102.0, inf)"
439,439,397.0,12,fully repaid this bank,business,609,74.0,3 months,4,single,none,,real estate,26,none,own,1,1,1,,yes,unemployed non-resident,female,,-500.0,3.0,Others,Bad,Others,fully repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
837,837,0.0,4,repaid,furniture,601,84.0,8 months,1,single,none,2 years,real estate,23,none,rent,1,0,2,,yes,unskilled resident,female,2.0,24.0,8.0,furniture,Good,unskilled resident,delayed/repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[3, 10)","[-15.0, 0.0)"
570,570,-2.0,24,repaid,furniture,3234,74.0,0 months,4,single,none,9 years,real estate,23,none,rent,1,1,1,2344173321.0,yes,unskilled resident,female,9.0,108.0,0.0,furniture,Bad,unskilled resident,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
879,879,0.0,30,critical,radio/tv,6742,0.0,4 years,2,single,none,3 years,building society savings,36,none,own,2,0,1,,yes,skilled employee,male,3.0,36.0,48.0,domestic appliance,Good,skilled employee,critical,"[34, 40)","[2.0, 132.0)","[36.0, 84.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
261,261,-2.0,24,repaid,radio/tv,1603,19.0,18 years,4,single,none,13 years,other,55,none,own,1,0,1,,yes,skilled employee,female,13.0,156.0,216.0,domestic appliance,Good,skilled employee,delayed/repaid,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[-15.0, 0.0)"
578,578,140.0,36,critical,car (new),2820,11.0,11 months,4,divorced,none,24 years,other,27,none,own,2,1,1,,yes,skilled employee,male,24.0,288.0,11.0,Car,Bad,skilled employee,critical,"[24, 34)","[240.0, inf)","[3.0, 24.0)","[1.0, 31.0)","[31, 37)","[102.0, inf)"
23,23,113.0,12,critical,car (used),1804,361.0,3 months,3,single,none,16 years,building society savings,44,none,own,1,0,1,,yes,skilled employee,male,16.0,192.0,3.0,Car,Good,skilled employee,critical,"[40, 45)","[132.0, 240.0)","[-inf, 3.0)","[155.0, inf)","[10, 16)","[102.0, inf)"
30,30,191.0,18,repaid,business,1913,9343.0,10 months,3,married,none,2 years,real estate,36,bank,own,1,0,1,2342557009.0,yes,skilled employee,male,2.0,24.0,10.0,Others,Good,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[16, 19)","[102.0, inf)"
617,617,-37.0,6,critical,car (new),3676,5.0,3 years,1,single,none,3 years,real estate,37,none,rent,3,0,2,,yes,skilled employee,male,3.0,36.0,36.0,Car,Good,skilled employee,critical,"[34, 40)","[2.0, 132.0)","[24.0, 36.0)","[1.0, 31.0)","[3, 10)","[-inf, -15.0)"
10,10,26.0,12,repaid,car (new),1295,93.0,6 months,3,single,none,,other,25,none,rent,1,1,1,,yes,skilled employee,female,,-500.0,6.0,Car,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[0.0, 102.0)"
221,221,-5.0,12,repaid,education,1200,0.0,3 years,4,single,none,14 years,building society savings,23,bank,rent,1,0,1,2342538766.0,yes,skilled employee,female,14.0,168.0,36.0,education,Good,skilled employee,delayed/repaid,"[18, 24)","[132.0, 240.0)","[24.0, 36.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
820,820,0.0,12,repaid,car (new),1101,65.0,1 years,3,married,none,2 months,real estate,27,none,own,2,0,1,2342735105.0,yes,skilled employee,male,2.0,2.0,12.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
296,296,0.0,12,repaid,car (used),4675,0.0,0 months,1,single,none,10 years,other,20,none,rent,1,0,1,,yes,skilled employee,female,10.0,120.0,0.0,Car,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
54,54,73.0,36,delayed,car (new),2225,31.0,13 years,4,single,none,24 years,unknown/none,57,bank,for free,2,1,1,2341713739.0,yes,skilled employee,male,24.0,288.0,156.0,Car,Bad,skilled employee,delayed/repaid,"[53, 76)","[240.0, inf)","[84.0, inf)","[1.0, 31.0)","[31, 37)","[0.0, 102.0)"
542,542,-22.0,30,repaid,furniture,6350,0.0,15 years,4,single,none,21 years,building society savings,31,none,own,1,1,1,,yes,skilled employee,male,21.0,252.0,180.0,furniture,Bad,skilled employee,delayed/repaid,"[24, 34)","[240.0, inf)","[84.0, inf)","[0.0, 1.0)","[19, 31)","[-inf, -15.0)"
209,209,0.0,12,repaid,car (used),1413,9708.0,5 years,3,single,none,2 months,building society savings,55,none,own,1,0,1,,no,skilled employee,male,2.0,2.0,60.0,Car,Good,skilled employee,delayed/repaid,"[53, 76)","[-inf, 2.0)","[36.0, 84.0)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
604,604,553.0,10,repaid,furniture,1275,42.0,0 months,4,single,none,11 months,building society savings,23,none,own,1,0,1,,yes,skilled employee,female,11.0,11.0,0.0,furniture,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
692,692,51.0,24,repaid,radio/tv,2896,481.0,4 months,2,single,none,,other,29,none,own,1,0,1,,yes,skilled employee,male,,-500.0,4.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[155.0, inf)","[19, 31)","[0.0, 102.0)"
662,662,0.0,21,repaid,furniture,2241,18.0,18 years,4,single,none,11 months,real estate,50,none,own,2,0,1,,yes,skilled employee,male,11.0,11.0,216.0,furniture,Good,skilled employee,delayed/repaid,"[45, 53)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[-15.0, 0.0)"
866,866,-10.0,18,repaid,radio/tv,2389,61.0,3 months,4,single,none,,other,27,stores,own,1,0,1,,yes,skilled employee,female,,-500.0,3.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
70,70,0.0,36,repaid,car (used),8133,54.0,3 years,1,single,none,3 months,building society savings,30,bank,own,1,0,1,,yes,skilled employee,female,3.0,3.0,36.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[31, 37)","[-15.0, 0.0)"
543,543,989.0,18,repaid,furniture,2864,80.0,3 years,2,single,none,,real estate,34,none,own,1,1,2,,yes,unskilled resident,male,,-500.0,36.0,furniture,Bad,unskilled resident,delayed/repaid,"[34, 40)","[-inf, 2.0)","[24.0, 36.0)","[31.0, 155.0)","[16, 19)","[102.0, inf)"
107,107,115.0,12,repaid,car (new),6078,66.0,6 years,2,single,none,8 months,other,32,none,own,1,0,1,,yes,skilled employee,male,8.0,8.0,72.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
493,493,182.0,6,repaid,radio/tv,368,0.0,15 years,4,single,none,22 years,building society savings,38,none,own,1,0,1,,yes,skilled employee,male,22.0,264.0,180.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[240.0, inf)","[84.0, inf)","[0.0, 1.0)","[3, 10)","[102.0, inf)"
590,590,-21.0,12,critical,radio/tv,385,60.0,5 years,4,single,none,3 years,real estate,58,none,own,4,0,1,2348814936.0,yes,unskilled resident,female,3.0,36.0,60.0,domestic appliance,Good,unskilled resident,critical,"[53, 76)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[-inf, -15.0)"
741,741,189.0,10,fully repaid this bank,radio/tv,1048,77.0,1 years,4,single,none,7 years,real estate,23,stores,own,1,0,1,,yes,unskilled resident,male,7.0,84.0,12.0,domestic appliance,Good,unskilled resident,fully repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
292,292,-39.0,24,critical,car (used),6419,57.0,13 years,2,single,none,23 years,unknown/none,44,none,for free,2,0,2,2342454871.0,yes,mangement self-employed,female,23.0,276.0,156.0,Car,Good,Others,critical,"[40, 45)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[-inf, -15.0)"
289,289,-14.0,24,delayed,radio/tv,1024,8.0,2 months,4,married,none,14 years,real estate,48,stores,own,1,1,1,,yes,skilled employee,male,14.0,168.0,2.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[-inf, 3.0)","[1.0, 31.0)","[19, 31)","[-15.0, 0.0)"
652,652,-35.0,24,repaid,car (new),2303,5.0,11 years,4,single,co-applicant,,real estate,45,none,own,1,1,1,,yes,skilled employee,male,,-500.0,132.0,Car,Bad,skilled employee,delayed/repaid,"[45, 53)","[-inf, 2.0)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[-inf, -15.0)"
39,39,128.0,9,repaid,radio/tv,458,41.0,1 years,4,single,none,2 years,real estate,24,none,own,1,0,1,,yes,skilled employee,male,2.0,24.0,12.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[3, 10)","[102.0, inf)"
589,589,-6.0,12,critical,furniture,2246,17.0,9 years,3,single,none,4 years,building society savings,60,none,own,2,1,1,,yes,skilled employee,male,4.0,48.0,108.0,furniture,Bad,skilled employee,critical,"[53, 76)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
307,307,-32.0,12,repaid,radio/tv,727,280.0,0 months,4,married,none,1 years,unknown/none,33,none,own,1,1,1,2343378203.0,yes,unskilled resident,male,1.0,12.0,0.0,domestic appliance,Bad,unskilled resident,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[155.0, inf)","[10, 16)","[-inf, -15.0)"
679,679,0.0,18,repaid,radio/tv,1453,22.0,11 months,3,single,none,,real estate,26,none,own,1,0,1,,yes,skilled employee,female,,-500.0,11.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[16, 19)","[-15.0, 0.0)"
66,66,0.0,12,repaid,radio/tv,2171,82.0,3 months,2,single,none,8 months,other,29,bank,own,1,0,1,,yes,skilled employee,female,8.0,8.0,3.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
275,275,0.0,9,repaid,radio/tv,2697,86.0,3 years,1,single,none,7 months,real estate,32,none,own,1,0,2,,yes,skilled employee,male,7.0,7.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[3, 10)","[-15.0, 0.0)"
67,67,73.0,12,repaid,car (new),1007,4865.0,3 years,4,married,none,,real estate,22,none,own,1,0,1,,yes,skilled employee,male,,-500.0,36.0,Car,Good,skilled employee,delayed/repaid,"[18, 24)","[-inf, 2.0)","[24.0, 36.0)","[155.0, inf)","[10, 16)","[0.0, 102.0)"
